date,CO,NO2,SO2,O3
2025-11-01 00:00:00+00:00,0.027219021,3e-05,0.0,0.118576945
2025-11-02 00:00:00+00:00,0.026025862,4e-05,0.0,0.114012091
2025-11-03 00:00:00+00:00,0.0280363255,4.5e-05,0.0,0.114662111
2025-11-04 00:00:00+00:00,0.030046789,5e-05,0.0,0.118298944
2025-11-05 00:00:00+00:00,0.032552019,5e-05,-3.3333333333333335e-05,0.117950638
2025-11-06 00:00:00+00:00,0.0320665902,5e-05,-6.666666666666667e-05,0.11580498
2025-11-07 00:00:00+00:00,0.0315811614,5e-05,-0.0001,0.115202972
2025-11-08 00:00:00+00:00,0.0310957326,4.75e-05,0.0,0.119262495
2025-11-09 00:00:00+00:00,0.0306103038,4.5e-05,0.0,0.117905254
2025-11-10 00:00:00+00:00,0.030124875,4.25e-05,0.0,0.118012607
2025-11-11 00:00:00+00:00,0.031552728,4e-05,0.0,0.115950522
2025-11-12 00:00:00+00:00,0.028005193,4.25e-05,2e-05,0.118970729
2025-11-13 00:00:00+00:00,0.028167059,4.5e-05,4e-05,0.119302961
2025-11-14 00:00:00+00:00,0.028328925,4.75e-05,6.000000000000001e-05,0.116877222
2025-11-15 00:00:00+00:00,0.028490791,5e-05,8e-05,0.117438621
2025-11-16 00:00:00+00:00,0.028652657,5.25e-05,0.0001,0.118066993
2025-11-17 00:00:00+00:00,0.032835462,5.5e-05,3.3333333333333335e-05,0.119508581
2025-11-18 00:00:00+00:00,0.0323147978,5.75e-05,-3.3333333333333335e-05,0.111390093
2025-11-19 00:00:00+00:00,0.0317941336,6e-05,-0.0001,0.11516331
2025-11-20 00:00:00+00:00,0.031273469400000004,5.75e-05,-9.473684210526316e-05,0.114231631
2025-11-21 00:00:00+00:00,0.0307528052,5.5e-05,-8.947368421052632e-05,0.115156569
2025-11-22 00:00:00+00:00,0.030232141,5.25e-05,-8.421052631578948e-05,0.113900129
2025-11-23 00:00:00+00:00,0.028482571333333335,5e-05,-7.894736842105263e-05,0.115329133
2025-11-24 00:00:00+00:00,0.026733001666666666,5.333333333333333e-05,-7.368421052631579e-05,0.114071776
2025-11-25 00:00:00+00:00,0.024983432,5.666666666666667e-05,-6.842105263157895e-05,0.114278203
2025-11-26 00:00:00+00:00,0.031419472,6e-05,-6.31578947368421e-05,0.117288016
2025-11-27 00:00:00+00:00,0.028322834499999998,6.25e-05,-5.789473684210527e-05,0.117965928
2025-11-28 00:00:00+00:00,0.025226197,6.5e-05,-5.2631578947368424e-05,0.115763894
2025-11-29 00:00:00+00:00,0.02561418,6.75e-05,-4.736842105263158e-05,0.116984556
2025-11-30 00:00:00+00:00,0.026773236666666665,7e-05,-4.210526315789474e-05,0.1164889
2025-12-01 00:00:00+00:00,0.027932293333333334,5.9999999999999995e-05,-3.684210526315789e-05,0.118741427
2025-12-02 00:00:00+00:00,0.02909135,5e-05,-3.1578947368421045e-05,0.116753763
2025-12-03 00:00:00+00:00,0.02910754633333333,4.666666666666667e-05,-2.6315789473684202e-05,0.117186667
2025-12-04 00:00:00+00:00,0.029123742666666664,4.3333333333333334e-05,-2.1052631578947372e-05,0.113705754
2025-12-05 00:00:00+00:00,0.029139938999999997,4e-05,-1.578947368421053e-05,0.113715595
