date,feature_index,SO2
2025-09-17T00:00:00.000Z,0,
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,1.8136779544875026E-5
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,-2.2559945705324935E-5
2025-11-15T00:00:00.000Z,0,
2025-09-25T00:00:00.000Z,0,-5.7956551609095185E-5
2025-09-27T00:00:00.000Z,0,1.5152038304222515E-4
2025-09-23T00:00:00.000Z,0,9.007018252304988E-5
2025-09-24T00:00:00.000Z,0,1.4067773190618027E-4
2025-09-21T00:00:00.000Z,0,-9.091705578612164E-5
2025-09-22T00:00:00.000Z,0,6.444398604799062E-4
2025-09-28T00:00:00.000Z,0,2.482664422132075E-5
2025-09-26T00:00:00.000Z,0,1.4416889522787338E-5
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,-1.5186448581516743E-4
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,5.0846749218180776E-5
2025-12-21T00:00:00.000Z,0,2.611272997455671E-4
2025-12-24T00:00:00.000Z,0,5.69520125281997E-5
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,-5.1903873099945486E-5
2026-01-03T00:00:00.000Z,0,
2026-01-04T00:00:00.000Z,0,
2026-01-06T00:00:00.000Z,0,1.1028744938812451E-4
2026-01-10T00:00:00.000Z,0,
2026-01-07T00:00:00.000Z,0,
2026-01-08T00:00:00.000Z,0,
2026-01-05T00:00:00.000Z,0,
2026-01-09T00:00:00.000Z,0,-7.556795268707599E-5
2026-02-25T00:00:00.000Z,0,
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,2.0346814968282462E-5
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,
2026-02-27T00:00:00.000Z,0,
2026-03-08T00:00:00.000Z,0,
2026-03-09T00:00:00.000Z,0,1.658707378737745E-5
2026-03-12T00:00:00.000Z,0,5.897643495700322E-5
2026-03-10T00:00:00.000Z,0,
2026-03-13T00:00:00.000Z,0,-7.340849212293203E-5
2026-03-15T00:00:00.000Z,0,-7.226320061211784E-5
2026-03-11T00:00:00.000Z,0,
2026-03-14T00:00:00.000Z,0,1.9012896761220569E-4
2026-06-03T00:00:00.000Z,0,-5.671518025944048E-5
2026-05-29T00:00:00.000Z,0,1.4480519651745757E-4
2026-06-02T00:00:00.000Z,0,-3.507123013453869E-5
2026-06-01T00:00:00.000Z,0,2.2226806322578342E-6
2026-05-30T00:00:00.000Z,0,1.0480294622539077E-4
2026-05-28T00:00:00.000Z,0,1.3455780450991975E-4
2026-05-27T00:00:00.000Z,0,2.0661480084527284E-4
2026-05-31T00:00:00.000Z,0,2.2316752923264478E-5
2026-07-31T00:00:00.000Z,0,-3.095395489557025E-7
2026-08-01T00:00:00.000Z,0,1.004059213300934E-4
2026-08-06T00:00:00.000Z,0,1.8620788735764412E-4
2026-07-30T00:00:00.000Z,0,-3.670454316306859E-5
2026-08-04T00:00:00.000Z,0,4.379892682967087E-5
2026-08-05T00:00:00.000Z,0,5.086664987175027E-5
2026-08-02T00:00:00.000Z,0,3.019993668355407E-4
2026-08-03T00:00:00.000Z,0,3.523778141243383E-5
2026-08-28T00:00:00.000Z,0,-1.7394182699111602E-4
2026-08-25T00:00:00.000Z,0,7.950616721548916E-5
2026-08-27T00:00:00.000Z,0,-1.2547013587512387E-4
2026-08-24T00:00:00.000Z,0,-7.517337326135021E-5
2026-08-29T00:00:00.000Z,0,-2.9400884159258567E-5
2026-08-26T00:00:00.000Z,0,1.0088226190418936E-5
2026-08-30T00:00:00.000Z,0,-2.5377702210486557E-5
2026-08-23T00:00:00.000Z,0,-5.2514768564530336E-5
